"Park","Species","nobs","ndetects","propdetect"
"Chiricahua NM","White-tailed deer",1165,323,0.28
"Chiricahua NM","Unknown cottontail",1165,98,0.08
"Chiricahua NM","Gray fox",1165,78,0.07
"Chiricahua NM","American black bear",1165,75,0.06
"Chiricahua NM","Rock squirrel",1165,64,0.05
"Chiricahua NM","Hog-nosed skunk",1165,59,0.05
"Chiricahua NM","White-nosed coati",1165,51,0.04
"Chiricahua NM","Unknown deer",1165,42,0.04
"Chiricahua NM","Bobcat",1165,40,0.03
"Chiricahua NM","Ringtail",1165,32,0.03
"Chiricahua NM","Striped skunk",1165,16,0.01
"Chiricahua NM","Coyote",1165,10,0.01
"Chiricahua NM","Western spotted skunk",1165,10,0.01
"Chiricahua NM","Unknown skunk",1165,8,0.01
"Chiricahua NM","Mountain lion",1165,7,0.01
"Chiricahua NM","Hooded skunk",1165,5,0
"Chiricahua NM","Black-tailed jackrabbit",1165,1,0
"Chiricahua NM","Mule deer",1165,1,0
"Chiricahua NM","Javelina",1165,1,0
"Chiricahua NM","Desert cottontail",1165,1,0
"Chiricahua NM","Eastern cottontail",1165,1,0
"Organ Pipe Cactus NM","Black-tailed jackrabbit",1624,258,0.16
"Organ Pipe Cactus NM","Unknown jackrabbit",1624,227,0.14
"Organ Pipe Cactus NM","Coyote",1624,118,0.07
"Organ Pipe Cactus NM","Mule deer",1624,99,0.06
"Organ Pipe Cactus NM","Gray fox",1624,89,0.05
"Organ Pipe Cactus NM","Desert cottontail",1624,79,0.05
"Organ Pipe Cactus NM","Kit fox",1624,52,0.03
"Organ Pipe Cactus NM","Unknown fox",1624,46,0.03
"Organ Pipe Cactus NM","Bobcat",1624,34,0.02
"Organ Pipe Cactus NM","Javelina",1624,33,0.02
"Organ Pipe Cactus NM","Unknown canid",1624,20,0.01
"Organ Pipe Cactus NM","Antelope jackrabbit",1624,16,0.01
"Organ Pipe Cactus NM","Sonoran Pronghorn",1624,15,0.01
"Organ Pipe Cactus NM","American badger",1624,15,0.01
"Organ Pipe Cactus NM","Unknown deer",1624,10,0.01
"Organ Pipe Cactus NM","White-tailed deer",1624,6,0
"Organ Pipe Cactus NM","Rock squirrel",1624,6,0
"Organ Pipe Cactus NM","Bighorn sheep",1624,5,0
"Organ Pipe Cactus NM","Western spotted skunk",1624,3,0
"Organ Pipe Cactus NM","Striped skunk",1624,1,0
"Organ Pipe Cactus NM","Mountain lion",1624,1,0
"Saguaro NP, Tucson Mtn District","Mule deer",1494,338,0.23
"Saguaro NP, Tucson Mtn District","Desert cottontail",1494,332,0.22
"Saguaro NP, Tucson Mtn District","Black-tailed jackrabbit",1494,289,0.19
"Saguaro NP, Tucson Mtn District","Coyote",1494,284,0.19
"Saguaro NP, Tucson Mtn District","Javelina",1494,284,0.19
"Saguaro NP, Tucson Mtn District","Gray fox",1494,258,0.17
"Saguaro NP, Tucson Mtn District","Unknown jackrabbit",1494,130,0.09
"Saguaro NP, Tucson Mtn District","Bobcat",1494,81,0.05
"Saguaro NP, Tucson Mtn District","Unknown deer",1494,26,0.02
"Saguaro NP, Tucson Mtn District","Rock squirrel",1494,19,0.01
"Saguaro NP, Tucson Mtn District","Ringtail",1494,9,0.01
"Saguaro NP, Tucson Mtn District","American badger",1494,9,0.01
"Saguaro NP, Tucson Mtn District","Feral dog",1494,6,0
"Saguaro NP, Tucson Mtn District","Mountain lion",1494,4,0
"Saguaro NP, Tucson Mtn District","Unknown canid",1494,4,0
"Saguaro NP, Tucson Mtn District","Hooded skunk",1494,3,0
"Saguaro NP, Tucson Mtn District","Hog-nosed skunk",1494,2,0
"Saguaro NP, Tucson Mtn District","Unknown skunk",1494,2,0
"Saguaro NP, Tucson Mtn District","Western spotted skunk",1494,2,0
"Saguaro NP, Tucson Mtn District","Unknown fox",1494,1,0
