"Park","spp","nobs","ndetects","propdetect"
"CHIR","BAAS",1165,32,0.03
"CHIR","CALA",1165,10,0.01
"CHIR","COLE",1165,59,0.05
"CHIR","LECA",1165,1,0
"CHIR","LYRU",1165,40,0.03
"CHIR","MEMA",1165,5,0
"CHIR","MEME",1165,16,0.01
"CHIR","NANA",1165,51,0.04
"CHIR","ODHE",1165,1,0
"CHIR","ODVI",1165,323,0.28
"CHIR","PETA",1165,1,0
"CHIR","PUCO",1165,7,0.01
"CHIR","SKUNK",1165,8,0.01
"CHIR","SPGR",1165,10,0.01
"CHIR","SPVA",1165,64,0.05
"CHIR","SYAU",1165,1,0
"CHIR","SYFL",1165,1,0
"CHIR","UNOD",1165,42,0.04
"CHIR","UNSY",1165,98,0.08
"CHIR","URAM",1165,75,0.06
"CHIR","URCI",1165,78,0.07
"ORPI","ANAMSO",1894,17,0.01
"ORPI","CALA",1894,135,0.07
"ORPI","FOX",1894,46,0.02
"ORPI","LEAL",1894,21,0.01
"ORPI","LECA",1894,311,0.16
"ORPI","LYRU",1894,37,0.02
"ORPI","MEME",1894,1,0
"ORPI","ODHE",1894,111,0.06
"ORPI","ODVI",1894,6,0
"ORPI","OVCA",1894,5,0
"ORPI","PETA",1894,35,0.02
"ORPI","PUCO",1894,1,0
"ORPI","SPGR",1894,3,0
"ORPI","SPVA",1894,12,0.01
"ORPI","SYAU",1894,103,0.05
"ORPI","TATA",1894,18,0.01
"ORPI","UNCA",1894,20,0.01
"ORPI","UNLE",1894,227,0.12
"ORPI","UNOD",1894,10,0.01
"ORPI","URCI",1894,99,0.05
"ORPI","VUMA",1894,67,0.04
"SAGW","BAAS",1494,9,0.01
"SAGW","CAFA",1494,6,0
"SAGW","CALA",1494,284,0.19
"SAGW","COLE",1494,2,0
"SAGW","FOX",1494,1,0
"SAGW","LECA",1494,289,0.19
"SAGW","LYRU",1494,81,0.05
"SAGW","MEMA",1494,3,0
"SAGW","ODHE",1494,338,0.23
"SAGW","PETA",1494,284,0.19
"SAGW","PUCO",1494,4,0
"SAGW","SKUNK",1494,2,0
"SAGW","SPGR",1494,2,0
"SAGW","SPVA",1494,19,0.01
"SAGW","SYAU",1494,332,0.22
"SAGW","TATA",1494,9,0.01
"SAGW","UNCA",1494,4,0
"SAGW","UNLE",1494,130,0.09
"SAGW","UNOD",1494,26,0.02
"SAGW","URCI",1494,258,0.17
